customer_age,customer_tenure_months,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,complaints_count,customer_region_Nordeste,customer_region_Norte,customer_region_Sudeste,customer_region_Sul
67,23,604.69,6,7.52,3,5,3,41.7,2,2,10,4,True,False,False,False
66,13,162.0,5,20.57,7,2,2,58.27,1,2,4,4,False,False,False,True
22,24,164.79,5,50.78,9,6,2,47.99,3,1,0,5,False,False,False,True
52,93,254.79,6,96.14,6,8,1,52.02,1,0,11,3,True,False,False,False
57,48,222.5,3,48.65,6,9,5,48.83,2,6,3,10,False,False,False,True
37,67,1182.28,4,31.07,3,10,2,41.96,2,2,4,6,False,False,False,False
39,84,296.71,1,15.31,1,7,3,56.46,1,3,4,5,False,False,True,False
30,72,486.17,2,83.69,10,5,5,52.08,2,2,1,7,True,False,False,False
56,45,501.66,6,27.84,3,14,2,57.91,2,2,6,4,False,False,True,False
50,36,47.58,1,46.01,9,12,1,35.74,1,1,9,3,False,False,False,True
28,55,455.69,3,36.24,8,12,3,25.01,2,4,9,7,False,False,True,False
31,65,452.71,4,11.54,8,2,0,20.38,1,3,11,6,False,True,False,False
34,87,394.66,2,26.15,11,7,4,31.48,1,0,11,4,False,False,False,True
48,13,522.52,5,22.67,10,4,1,23.65,3,0,0,2,False,False,True,False
68,60,445.34,4,10.14,11,2,2,35.94,3,3,4,5,False,False,False,True
66,25,335.86,6,7.82,5,8,3,38.42,1,1,3,5,True,False,False,False
60,87,294.96,5,31.05,11,2,1,20.47,2,1,8,3,False,True,False,False
39,81,272.0,5,40.33,6,8,1,48.07,1,2,5,5,False,False,True,False
26,116,52.28,5,5.51,3,5,4,32.86,3,1,2,4,False,True,False,False
23,29,455.48,5,35.97,4,9,3,28.94,1,1,3,4,False,True,False,False
61,83,505.43,3,19.01,2,5,2,43.18,1,3,1,7,False,False,False,True
40,68,55.54,5,71.45,3,4,2,52.16,2,3,2,5,False,False,False,True
23,61,150.01,5,16.9,2,3,2,32.64,1,2,0,4,False,False,False,False
63,79,908.95,4,43.43,4,12,0,28.28,1,0,5,2,False,False,True,False
62,75,312.27,2,41.73,11,8,1,45.84,2,4,1,7,False,False,True,False
34,90,111.53,4,40.19,9,8,3,28.38,3,1,2,3,False,True,False,False
39,22,306.9,3,16.22,1,3,3,33.04,2,2,0,4,False,False,False,False
23,11,170.66,1,43.83,7,5,4,36.63,2,3,5,5,False,False,False,False
43,86,383.98,3,33.61,11,3,4,25.24,2,2,3,4,False,False,False,True
35,84,155.1,5,27.87,6,11,3,35.1,1,3,5,5,False,False,False,False
35,11,365.01,4,43.4,7,11,3,40.95,2,1,11,4,False,False,False,True
56,63,419.32,3,6.0,8,3,4,43.58,2,0,3,3,False,False,False,False
29,76,679.11,1,10.05,5,11,1,44.97,1,0,0,1,False,False,True,False
37,100,588.29,3,2.18,9,2,1,43.77,1,1,1,2,False,False,True,False
51,30,666.34,2,43.94,9,2,2,39.84,3,1,4,3,False,False,False,True
25,34,372.06,2,1.21,10,11,1,35.07,1,0,10,1,False,True,False,False
22,107,220.97,1,17.84,6,4,3,56.08,2,1,10,6,False,False,False,True
66,2,554.46,5,21.54,1,7,1,41.21,1,2,3,4,False,False,False,True
45,26,144.9,2,31.47,9,13,2,30.39,1,1,11,4,False,True,False,False
25,12,231.77,6,12.91,2,7,3,55.79,3,1,10,5,False,True,False,False
22,51,240.49,1,14.86,9,13,3,29.46,2,0,8,5,False,False,True,False
28,82,110.02,1,14.27,10,3,1,25.66,1,0,1,1,False,False,True,False
56,4,609.18,4,1.58,3,9,1,35.78,3,1,7,5,False,False,False,True
27,31,419.69,2,18.84,8,14,1,32.73,3,1,0,7,True,False,False,False
41,72,695.21,6,169.16,8,8,2,45.22,2,3,6,4,True,False,False,False
67,16,727.45,2,10.69,7,10,2,34.21,2,2,7,4,True,False,False,False
55,86,252.97,3,19.83,11,13,2,30.24,1,0,7,2,True,False,False,False
34,97,663.74,4,4.52,7,4,1,35.45,3,0,4,2,False,False,False,True
53,94,848.29,2,29.7,7,8,1,37.02,3,0,10,3,False,False,True,False
36,53,443.59,1,26.75,2,6,2,38.58,1,1,0,3,False,False,False,True
19,53,252.46,5,5.47,11,13,2,59.95,3,1,4,4,False,False,False,False
34,25,384.22,6,10.71,6,7,2,17.16,3,2,6,4,False,False,False,True
34,60,217.35,5,18.4,5,10,1,34.07,1,2,0,4,False,False,False,True
58,52,196.9,2,5.63,11,8,2,34.77,1,2,11,5,False,False,False,False
49,10,129.61,4,2.72,1,12,2,47.23,1,3,2,7,False,False,True,False
55,70,474.88,6,36.63,5,12,4,55.7,2,1,0,3,False,False,True,False
60,86,261.8,3,21.93,7,11,2,58.37,2,2,8,5,False,True,False,False
31,98,927.89,4,9.68,3,2,4,53.8,2,0,2,1,True,False,False,False
61,63,333.16,2,20.68,4,5,2,54.76,3,1,3,3,True,False,False,False
62,67,556.82,4,54.07,2,12,4,38.17,2,1,11,3,False,True,False,False
26,9,94.64,3,48.72,1,9,0,39.74,3,0,3,1,False,False,False,False
56,89,651.98,4,24.9,6,5,1,37.44,3,1,7,3,False,False,True,False
33,57,759.72,4,0.69,8,10,2,32.56,3,3,3,5,False,True,False,False
35,44,629.15,2,41.01,11,5,3,28.9,1,5,8,8,False,False,False,False
34,14,859.92,6,133.02,10,13,4,37.92,3,0,1,4,False,False,False,False
23,86,274.53,2,24.22,7,6,3,27.5,3,0,2,3,True,False,False,False
20,32,424.14,3,0.42,3,2,5,26.43,3,2,0,4,True,False,False,False
19,48,143.79,2,35.31,4,2,4,43.31,1,3,0,7,False,False,False,False
67,74,283.75,6,96.8,10,2,1,52.08,2,1,11,4,False,True,False,False
57,79,411.73,5,25.22,1,3,2,32.77,2,0,5,4,False,False,False,True
26,98,1035.5,3,103.61,9,14,1,58.89,2,3,2,6,False,False,False,True
66,101,124.16,4,63.86,5,14,3,28.93,1,2,2,5,False,True,False,False
31,62,179.36,3,5.58,10,5,0,11.8,1,0,2,0,True,False,False,False
50,22,285.35,6,54.68,7,10,1,37.26,1,1,3,5,False,True,False,False
66,79,385.14,3,25.66,9,14,2,46.59,3,1,3,3,False,False,False,False
56,89,190.15,2,14.92,8,11,2,36.73,1,3,1,4,False,False,False,False
60,69,508.46,2,9.85,7,9,3,43.86,3,2,6,5,False,False,False,True
34,89,155.97,5,11.39,5,2,3,33.04,1,3,6,6,False,True,False,False
21,51,1317.9,3,71.03,5,3,5,57.79,1,1,2,4,True,False,False,False
28,18,731.33,4,38.41,6,8,3,34.9,1,1,3,4,False,True,False,False
54,30,66.57,1,21.54,4,2,4,22.62,2,1,11,4,False,False,False,True
51,96,615.81,6,11.41,2,14,3,28.96,2,1,2,3,False,False,False,True
46,90,460.54,5,6.15,3,13,3,40.54,3,1,6,3,False,True,False,False
47,49,241.91,4,2.61,3,12,1,44.05,1,2,6,5,False,True,False,False
37,21,401.34,3,18.68,4,12,3,51.28,3,1,0,5,True,False,False,False
51,116,391.76,2,49.2,7,13,1,22.55,3,3,10,5,False,False,True,False
